Patron #,Total All Revenue,Most Recent Donation Date,Total Donations,Total Ticket Revenue,Total Tickets,2002 Qty,2002 Total Cost,2003 Qty,2003 Total Cost,2004 Qty,2004 Total Cost,2005 Qty,2005 Total Cost,2006 Qty,2006 Total Cost,2007 Qty,2007 Total Cost,2008 Qty,2008 Total Cost,2009 Qty,2009 Total Cost,2010 Qty,2010 Total Cost,2011 Qty,2011 Total Cost,2012 Qty,2012 Total Cost,2013 Qty,2013 Total Cost,2014 Qty,2014 Total Cost,2015 Qty,2015 Total Cost,2004 Donation,2005 Donation,2006 Donation,2007 Donation,2008 Donation,2009 Donation,2010 Donation,2011 Donation,2012 Donation,2013 Donation,2014 Donation,2015 Donation
1059,6629.00,,0.00,6629.00,863,0,0,5,0,4,0,26,35,23,0,174,2116,151,1468.5,96,742.5,74,577.5,75,473,24,0,68,432,63,417,80,367.5,0,0,0,0,0,0,0,0,0,0,0,0
1060,4714.00,,0.00,4714.00,416,0,0,0,0,0,0,0,0,83,1203,150,1550,183,1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,5208.16,,0.00,5208.16,173,15,289,8,204,26,520,0,0,24,638,35,885,13,392,8,344,10,456,4,168,8,401,8,354,8,273.16,6,284,0,0,0,0,0,0,0,0,0,0,0,0
1068,2395.00,,0.00,2395.00,107,0,0,3,69,0,0,7,189,17,288,11,209,9,171,0,0,10,230,10,224,3,141,15,390,11,242,11,242,0,0,0,0,0,0,0,0,0,0,0,0
1074,343.78,,0.00,343.78,18,0,0,0,0,0,0,0,0,18,343.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1080,435.00,,0.00,435.00,15,0,0,0,0,0,0,0,0,15,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1091,1440.00,,0.00,1440.00,76,0,0,0,0,38,684,20,342,18,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,9.00,,0.00,9.00,24,0,0,0,0,6,9,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,294.00,,0.00,294.00,116,12,42,10,32,3,0,16,9,12,111,15,100,7,0,10,0,6,0,2,0,9,0,6,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,30.00,,0.00,30.00,27,0,0,0,0,0,0,3,0,1,0,2,0,3,0,4,0,2,0,4,0,4,30,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,3691.06,,0.00,3691.06,105,0,0,0,0,5,140.4,2,59,5,195.33,11,404.33,18,335,15,494,9,350,8,315,3,144,12,490,9,424,8,340,0,0,0,0,0,0,0,0,0,0,0,0
1117,6194.00,12/30/2013,2550.00,3644.00,183,11,240,14,240,8,240,20,478,13,280,17,288,13,316,14,189,8,170,15,258,13,295,14,215,11,188,12,247,100,100,150,200,250,250,250,250,250,250,250,250
1118,928.00,1/8/2013,75.00,853.00,88,17,336,5,12,4,52,9,63,4,0,7,22,4,0,8,154,3,36,7,0,8,74,6,0,2,0,4,104,0,0,0,0,0,0,0,0,25,25,0,25
1121,504.00,,0.00,504.00,39,5,76,0,0,3,0,0,0,4,0,6,24,2,0,4,0,3,0,10,300,2,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1130,1762.00,11/26/2013,950.00,812.00,27,0,0,0,0,4,18,2,35,2,0,2,72,0,0,0,0,0,0,8,342,9,345,0,0,0,0,0,0,0,50,75,75,75,75,100,100,100,100,100,100
1133,407.50,12/2/2014,50.00,357.50,98,0,0,0,0,0,0,4,18,2,10,5,0,10,43,6,0,6,0,10,0,19,36,10,110,14,37.5,12,103,0,0,0,0,0,0,0,0,0,0,0,50
1134,1617.00,,0.00,1617.00,116,8,90,6,210,9,0,14,32,15,0,15,50,3,0,28,700,4,0,5,81,0,0,3,134,2,100,4,220,0,0,0,0,0,0,0,0,0,0,0,0
1135,3776.00,1/2/2014,70.00,3706.00,132,12,180,12,236,8,216,10,256,14,222,13,288,11,316,7,98,6,264,9,320,6,261,6,243,8,366,10,440,0,0,0,0,0,0,0,0,0,20,20,30
1137,0.00,,0.00,0.00,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1142,70.00,,0.00,70.00,4,0,0,0,0,4,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1145,1648.00,7/19/2013,1550.00,98.00,37,2,0,0,0,0,0,0,0,6,23,0,0,0,0,1,0,6,50,7,25,5,0,4,0,2,0,4,0,250,250,500,0,0,0,0,0,250,300,0,0
1146,0.00,,0.00,0.00,8,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,117.00,1/2/2014,25.00,92.00,42,0,0,0,0,3,0,0,0,4,0,4,0,3,0,0,0,3,0,6,0,4,0,7,32,6,60,2,0,0,0,0,0,0,0,0,0,0,0,25,0
1149,100.00,,0.00,100.00,28,0,0,0,0,0,0,2,70,1,0,5,0,4,0,3,0,4,0,3,0,0,0,3,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1153,70.00,,0.00,70.00,4,0,0,0,0,2,70,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1157,360.11,,0.00,360.11,98,21,76,13,49,18,54.67,16,0,20,0,7,180.44,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,298.00,,0.00,298.00,30,0,0,0,0,0,0,0,0,0,0,4,144,3,0,0,0,2,100,10,54,2,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1162,39.00,,0.00,39.00,3,0,0,0,0,0,0,0,0,0,0,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1165,162.00,,0.00,162.00,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,40,0,0,0,0,2,122,0,0,0,0,0,0,0,0,0,0,0,0
1166,0.00,,0.00,0.00,12,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1169,709.67,,0.00,709.67,61,0,0,2,58,5,23,4,32,8,73.67,7,88,2,0,18,435,2,0,3,0,2,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1170,0.00,,0.00,0.00,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1171,0.00,,0.00,0.00,4,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
